operation_type,bank_account_name,category_name,amount,date,description
INCOME,MyBankChecking,Salary,5000.00,2024-03-01,Monthly salary
EXPENSE,MyBankChecking,Groceries,200.50,2024-03-02,Groceries at supermarket
EXPENSE,MyBankChecking,Utilities,100.00,2024-03-03,Electricity bill
EXPENSE,MyBankChecking,Entertainment,50.00,2024-03-04,Movie night
EXPENSE,MyBankChecking,Transportation,25.00,2024-03-05,Taxi ride
INCOME,SavingsAccount,Freelance,1200.00,2024-03-06,Freelance project payment
EXPENSE,SavingsAccount,Groceries,180.75,2024-03-07,Organic food store
EXPENSE,MyBankChecking,Utilities,95.00,2024-03-08,Water bill
EXPENSE,CreditCard,Entertainment,60.00,2024-03-09,Concert ticket
EXPENSE,CreditCard,Transportation,30.00,2024-03-10,Gas for car